,current_price,std_dev,average,upper,lower,BUSD,BTC,total_balance,action
2021-11-01 04:00:00,60554.02,520.6694,61023.902,62065.24108886719,59982.56359863281,1000631.9054999999,9.99,1605566.5653,NoTrade
2021-11-01 05:00:00,60630.0,535.293,60987.23,62057.81652832031,59916.64440917969,1000631.9054999999,9.99,1606325.6055,NoTrade
2021-11-01 06:00:00,60756.99,507.9436,60906.035,61921.92236328125,59890.14794921875,1000631.9054999999,9.99,1607594.2355999998,NoTrade
2021-11-01 07:00:00,62200.91,639.22003,60994.207,62272.64709472656,59715.76696777344,1000631.9054999999,9.99,1622018.9964,NoTrade
2021-11-01 08:00:00,61937.66,699.8366,61060.547,62460.22009277344,59660.87365722656,1000631.9054999999,9.99,1619389.1289,NoTrade
2021-11-01 09:00:00,61991.11,742.8095,61104.008,62589.62683105469,59618.38879394531,1000631.9054999999,9.99,1619923.0943999998,NoTrade
2021-11-01 10:00:00,62287.96,831.07184,61211.168,62873.31164550781,59549.02429199219,1000631.9054999999,9.99,1622888.6258999999,NoTrade
2021-11-01 11:00:00,61845.34,819.8569,61351.223,62990.93640136719,59711.50891113281,1000631.9054999999,9.99,1618466.8520999998,NoTrade
2021-11-01 12:00:00,61873.96,664.223,61564.215,62892.660888671875,60235.768798828125,1000631.9054999999,9.99,1618752.7659,NoTrade
2021-11-01 13:00:00,61982.6,567.5011,61722.953,62857.955322265625,60587.950927734375,1000631.9054999999,9.99,1619838.0795,NoTrade
2021-11-01 14:00:00,61480.26,432.37738,61817.418,62682.17272949219,60952.66320800781,1000631.9054999999,9.99,1614819.7029,NoTrade
2021-11-01 15:00:00,61582.25,244.41899,61909.117,62397.955169677734,61420.279205322266,1000631.9054999999,9.99,1615838.5829999999,NoTrade
2021-11-01 16:00:00,61068.43,336.11783,61783.285,62455.52081298828,61111.04949951172,1000631.9054999999,9.99,1610705.5211999998,NoTrade
2021-11-01 17:00:00,60795.08,450.2401,61656.332,62556.812255859375,60755.851806640625,1000631.9054999999,9.99,1607974.7547,NoTrade
2021-11-01 18:00:00,60590.43,540.6302,61500.703,62581.96350097656,60419.44274902344,1000631.9054999999,9.99,1605930.3011999999,NoTrade
2021-11-01 19:00:00,61472.03,463.9926,61410.043,62338.02819824219,60482.05773925781,1000631.9054999999,9.99,1614737.4852,NoTrade
2021-11-01 20:00:00,60723.39,480.71085,61285.383,62246.80450439453,60323.96112060547,1000631.9054999999,9.99,1607258.5716,NoTrade
2021-11-01 21:00:00,60771.02,454.93884,61162.832,62072.709716796875,60252.954345703125,1000631.9054999999,9.99,1607734.3953,NoTrade
2021-11-01 22:00:00,61120.86,351.18112,61067.082,61769.444274902344,60364.719787597656,1000020.6968999999,10.0,1611229.2969,CloseSELL
2021-11-01 23:00:00,60939.91,320.23743,61007.047,61647.521728515625,60366.572021484375,1000020.6968999999,10.0,1609419.7969,NoTrade
2021-11-02 00:00:00,60981.85,247.80994,60940.332,61435.951904296875,60444.712158203125,1000020.6968999999,10.0,1609839.1968999999,NoTrade
2021-11-02 01:00:00,61370.74,281.14313,60973.92,61536.20812988281,60411.63562011719,1000020.6968999999,10.0,1613728.0968999998,NoTrade
2021-11-02 02:00:00,60956.46,274.22592,60991.855,61540.30731201172,60443.40362548828,1000020.6968999999,10.0,1609585.2969,NoTrade
2021-11-02 03:00:00,61122.62,236.00539,61050.984,61522.99514770508,60578.97360229492,1000020.6968999999,10.0,1611246.8969,NoTrade
2021-11-02 04:00:00,61448.39,231.39099,61048.36,61511.141357421875,60585.577392578125,1000020.6968999999,10.0,1614504.5968999998,NoTrade
2021-11-02 05:00:00,61803.08,301.1727,61168.33,61770.67352294922,60565.98272705078,1000638.7276999998,9.99,1618051.4968999997,OopenSELL
2021-11-02 06:00:00,61809.99,324.94177,61283.766,61933.649169921875,60633.882080078125,1000638.7276999998,9.99,1618120.5277999998,NoTrade
2021-11-02 07:00:00,61556.32,329.47125,61332.152,61991.09484863281,60673.20983886719,1000638.7276999998,9.99,1615586.3644999997,NoTrade
2021-11-02 08:00:00,61611.42,307.49847,61406.766,62021.76257324219,60791.76867675781,1000638.7276999998,9.99,1616136.8134999997,NoTrade
2021-11-02 09:00:00,63099.1,580.8397,61642.016,62803.695068359375,60480.336181640625,1000638.7276999998,9.99,1630998.7366999998,NoTrade
2021-11-02 10:00:00,63242.6,755.3767,61850.0,63360.75341796875,60339.24658203125,1000638.7276999998,9.99,1632432.3016999997,NoTrade
2021-11-02 11:00:00,62963.01,754.8639,62072.945,63582.673095703125,60563.217529296875,1000638.7276999998,9.99,1629639.1975999998,NoTrade
2021-11-02 12:00:00,63045.0,727.211,62286.543,63740.96496582031,60832.12097167969,1000638.7276999998,9.99,1630458.2777,NoTrade
2021-11-02 13:00:00,63436.32,740.86304,62507.43,63989.15576171875,61025.70361328125,1000638.7276999998,9.99,1634367.5644999999,NoTrade
2021-11-02 14:00:00,63382.57,740.3056,62682.93,64163.54089355469,61202.31848144531,1000638.7276999998,9.99,1633830.602,NoTrade
2021-11-02 15:00:00,64068.68,783.4333,62933.89,64500.75720214844,61367.02404785156,1000638.7276999998,9.99,1640684.8408999997,NoTrade
2021-11-02 16:00:00,63705.82,641.9334,63172.723,64456.58947753906,61888.85583496094,1000638.7276999998,9.99,1637059.8694999998,NoTrade
2021-11-02 17:00:00,63500.07,330.2963,63382.58,64043.17071533203,62721.98553466797,1000638.7276999998,9.99,1635004.4269999997,NoTrade
2021-11-02 18:00:00,63295.36,317.07526,63404.383,64038.53332519531,62770.23229980469,1000638.7276999998,9.99,1632959.3740999997,NoTrade
2021-11-02 19:00:00,63630.01,318.48434,63447.43,64084.398376464844,62810.460998535156,1000638.7276999998,9.99,1636302.5275999997,NoTrade
2021-11-02 20:00:00,63146.32,291.57883,63467.793,64050.950622558594,62884.635314941406,1000638.7276999998,9.99,1631470.4644999998,NoTrade
2021-11-02 21:00:00,63051.78,290.49207,63468.543,64049.527099609375,62887.558837890625,1000638.7276999998,9.99,1630526.0099,NoTrade
2021-11-02 22:00:00,62974.54,329.7783,63417.242,64076.798767089844,62757.685607910156,1000638.7276999998,9.99,1629754.3822999997,NoTrade
2021-11-02 23:00:00,63257.7,333.55026,63403.367,64070.467712402344,62736.266662597656,1000638.7276999998,9.99,1632583.1506999996,NoTrade
2021-11-03 00:00:00,63550.99,247.35767,63345.848,63840.56298828125,62851.13232421875,1000638.7276999998,9.99,1635513.1177999997,NoTrade
2021-11-03 01:00:00,63179.57,215.50061,63287.367,63718.368408203125,62856.365966796875,1000638.7276999998,9.99,1631802.6319999998,NoTrade
2021-11-03 02:00:00,63207.09,202.65767,63254.812,63660.127838134766,62849.497161865234,1000006.6567999998,10.0,1632077.5567999997,CloseSELL
